Emigrants,Both,Honduras,Latin America and the Caribbean,..,..,..,..,..,..,..,..,..,7,6,4,1,4,1,29,23,14,10,20,20,15,22,28,18
Emigrants,Both,Hungary,Europe,..,..,..,..,..,..,..,..,..,101,89,108,166,148,206,187,193,229,294,346,375,293,306,344,445
Emigrants,Both,Iceland,Europe,..,..,..,..,..,..,..,..,..,5,8,2,3,0,4,21,64,15,21,23,26,16,38,24,9
Emigrants,Both,India,Asia,..,..,..,..,..,..,..,..,..,105,158,173,327,433,417,313,442,500,494,548,587,1022,1096,1336,1476
Emigrants,Both,Indonesia,Asia,..,..,..,..,..,..,..,..,..,49,61,2,9,13,11,62,73,98,104,70,65,87,100,154,137
Emigrants,Both,Iran (Islamic Republic of),Asia,..,..,75,113,241,511,1606,604,131,70,60,27,17,56,16,51,49,43,30,35,32,25,51,52,59
Emigrants,Both,Iraq,Asia,..,..,139,134,128,55,37,6,0,8,5,3,4,23,17,10,22,8,1,8,8,17,10,26,21
Emigrants,Both,Ireland,Europe,61,25,31,43,55,24,37,61,65,92,150,126,157,154,167,482,403,582,619,800,730,509,663,853,1039
Emigrants,Both,Israel,Asia,..,..,..,..,..,..,..,..,..,124,139,107,184,149,119,127,188,159,100,155,146,182,179,170,227
Emigrants,Both,Jamaica,Latin America and the Caribbean,..,..,..,..,..,..,..,..,..,8,8,0,0,3,1,2,2,5,0,4,4,10,4,6,13
Emigrants,Both,Japan,Asia,..,..,..,..,..,..,..,..,..,325,397,329,403,696,516,404,439,456,418,404,435,396,398,452,499
Emigrants,Both,Jordan,Asia,..,..,..,..,..,..,..,..,..,38,60,9,16,4,19,39,37,46,37,39,37,30,36,48,61
Emigrants,Both,Kazakhstan,Asia,..,..,..,..,..,..,..,..,..,8,2,0,2,2,0,7,7,17,44,36,38,71,107,57,76
Emigrants,Both,Kenya,Africa,..,..,..,..,..,..,..,..,..,123,149,109,130,137,132,126,143,169,114,191,185,112,119,135,179
Emigrants,Both,Kuwait,Asia,..,..,..,..,..,..,..,..,..,114,17,1,0,3,1,18,0,18,40,37,35,38,28,66,38
Emigrants,Both,Kyrgyzstan,Asia,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,2,1,2,2,9,0,20,3
Emigrants,Both,Lao People's Democratic Republic,Asia,..,..,..,..,..,..,..,..,..,6,7,0,2,0,0,15,9,3,1,4,4,1,7,0,6
Emigrants,Both,Latvia,Europe,..,..,..,..,..,..,..,..,..,39,37,0,3,3,4,17,17,16,20,34,33,21,22,49,46
Emigrants,Both,Lebanon,Asia,..,..,..,..,..,..,..,..,..,76,73,54,26,9,10,34,56,70,116,54,51,126,98,78,79
Emigrants,Both,Lesotho,Africa,..,..,..,..,..,..,..,..,..,3,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Emigrants,Both,Liberia,Africa,..,..,..,..,..,..,..,..,..,3,0,3,0,7,4,5,3,15,3,7,8,5,3,18,8
Emigrants,Both,Libya,Africa,..,..,194,123,143,113,140,84,113,92,63,109,123,92,132,55,21,32,63,63,54,44,26,56,43
Emigrants,Both,Liechtenstein,Europe,..,..,..,..,..,..,..,..,..,8,4,4,0,4,0,31,12,21,34,105,96,12,23,16,13
Emigrants,Both,Lithuania,Europe,..,..,..,..,..,..,..,..,..,14,32,3,1,5,1,17,28,33,58,52,56,39,46,73,70
Emigrants,Both,Luxembourg,Europe,321,266,321,1145,237,219,276,237,367,309,310,210,278,225,241,338,258,331,307,375,356,454,476,690,776
Emigrants,Both,Madagascar,Africa,..,..,..,..,..,..,..,..,..,38,34,3,2,10,12,105,112,56,59,54,44,29,22,55,49
Emigrants,Both,Malawi,Africa,..,..,..,..,..,..,..,..,..,9,9,0,0,0,0,3,15,10,12,3,3,2,12,5,4
Emigrants,Both,Malaysia,Asia,..,..,..,..,..,..,..,..,..,70,43,32,3,4,5,10,49,50,50,55,56,70,55,74,86
Emigrants,Both,Maldives,Asia,..,..,..,..,..,..,..,..,..,4,5,0,0,0,0,1,4,3,3,0,0,8,6,10,10
Emigrants,Both,Mali,Africa,..,..,..,..,..,..,..,..,..,5,1,0,0,2,0,5,10,6,5,10,10,4,7,14,11
Emigrants,Both,Malta,Europe,0,0,0,0,0,0,0,0,0,124,152,118,163,113,152,40,77,64,45,80,68,115,147,177,331
Emigrants,Both,Mauritania,Africa,..,..,..,..,..,..,..,..,..,39,19,0,5,3,1,6,0,3,4,3,3,0,2,2,4
Emigrants,Both,Mauritius,Africa,..,..,..,..,..,..,..,..,..,10,19,15,2,17,14,29,22,20,22,13,15,22,35,58,78
Emigrants,Both,Mexico,Latin America and the Caribbean,..,..,..,..,..,..,..,..,..,123,198,239,300,244,331,246,336,351,403,439,415,359,473,414,488
Emigrants,Both,Micronesia (Federated States of),Oceania,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Emigrants,Both,Monaco,Europe,..,..,..,..,..,..,..,..,..,183,193,219,262,220,212,171,157,214,216,175,161,193,197,274,319
Emigrants,Both,Mongolia,Asia,..,..,..,..,..,..,..,..,..,4,7,0,0,0,4,6,1,1,2,6,7,2,1,6,3
Emigrants,Both,Montenegro,Europe,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,6,12,15,1,21,28,28
Emigrants,Both,Montserrat,Latin America and the Caribbean,..,..,..,..,..,..,..,..,..,..,..,..,3,0,0,0,0,0,0,0,0,0,0,0,0
Emigrants,Both,Morocco,Africa,..,..,225,259,288,297,271,543,422,382,422,629,16,1227,1075,749,981,1068,969,977,1079,2015,1642,2054,2263
Emigrants,Both,Mozambique,Africa,..,..,..,..,..,..,..,..,..,30,90,107,832,88,121,88,63,59,53,70,62,34,62,44,56
Emigrants,Both,Myanmar,Asia,..,..,..,..,..,..,..,..,..,0,2,0,0,0,0,3,7,5,6,7,5,0,7,3,8
